day,reports_raw,season_name
1,,2019/2020
2,,2019/2020
3,,2019/2020
4,,2019/2020
5,,2019/2020
6,,2019/2020
7,,2019/2020
8,,2019/2020
9,,2019/2020
10,,2019/2020
11,,2019/2020
12,,2019/2020
13,,2019/2020
14,,2019/2020
15,,2019/2020
16,,2019/2020
17,,2019/2020
18,,2019/2020
19,,2019/2020
20,,2019/2020
21,,2019/2020
22,,2019/2020
23,,2019/2020
24,,2019/2020
25,,2019/2020
26,,2019/2020
27,,2019/2020
28,,2019/2020
29,,2019/2020
30,,2019/2020
31,,2019/2020
32,,2019/2020
33,,2019/2020
34,,2019/2020
35,,2019/2020
36,,2019/2020
37,,2019/2020
38,,2019/2020
39,,2019/2020
40,,2019/2020
41,,2019/2020
42,,2019/2020
43,,2019/2020
44,,2019/2020
45,,2019/2020
46,,2019/2020
47,,2019/2020
48,,2019/2020
49,,2019/2020
50,,2019/2020
51,,2019/2020
52,,2019/2020
53,,2019/2020
54,,2019/2020
55,,2019/2020
56,,2019/2020
57,,2019/2020
58,,2019/2020
59,,2019/2020
60,,2019/2020
61,,2019/2020
62,,2019/2020
63,,2019/2020
64,,2019/2020
65,,2019/2020
66,,2019/2020
67,,2019/2020
68,,2019/2020
69,,2019/2020
70,,2019/2020
71,,2019/2020
72,,2019/2020
73,,2019/2020
74,,2019/2020
75,,2019/2020
76,,2019/2020
77,,2019/2020
78,,2019/2020
79,5,2019/2020
80,6,2019/2020
81,7,2019/2020
82,11,2019/2020
83,14,2019/2020
84,14,2019/2020
85,14,2019/2020
86,16,2019/2020
87,15,2019/2020
88,21,2019/2020
89,20,2019/2020
90,19,2019/2020
91,19,2019/2020
92,19,2019/2020
93,23,2019/2020
94,29,2019/2020
95,32,2019/2020
96,37,2019/2020
97,42,2019/2020
98,42,2019/2020
99,42,2019/2020
100,44,2019/2020
101,46,2019/2020
102,46,2019/2020
103,49,2019/2020
104,53,2019/2020
105,53,2019/2020
106,53,2019/2020
107,71,2019/2020
108,71,2019/2020
109,61,2019/2020
110,47,2019/2020
111,55,2019/2020
112,55,2019/2020
113,55,2019/2020
114,46,2019/2020
115,61,2019/2020
116,61,2019/2020
117,91,2019/2020
118,94,2019/2020
119,94,2019/2020
120,94,2019/2020
121,98,2019/2020
122,89,2019/2020
123,97,2019/2020
124,93,2019/2020
125,85,2019/2020
126,85,2019/2020
127,85,2019/2020
128,70,2019/2020
129,68,2019/2020
130,74,2019/2020
131,55,2019/2020
132,45,2019/2020
133,45,2019/2020
134,45,2019/2020
135,39,2019/2020
136,29,2019/2020
137,16,2019/2020
138,11,2019/2020
139,9,2019/2020
140,9,2019/2020
141,9,2019/2020
142,10,2019/2020
143,8,2019/2020
144,11,2019/2020
145,10,2019/2020
146,9,2019/2020
147,9,2019/2020
148,9,2019/2020
149,9,2019/2020
150,9,2019/2020
151,7,2019/2020
152,6,2019/2020
153,7,2019/2020
154,7,2019/2020
155,7,2019/2020
156,6,2019/2020
157,6,2019/2020
158,6,2019/2020
159,9,2019/2020
160,11,2019/2020
161,11,2019/2020
162,11,2019/2020
163,12,2019/2020
164,13,2019/2020
165,12,2019/2020
166,9,2019/2020
167,9,2019/2020
168,9,2019/2020
169,9,2019/2020
170,11,2019/2020
171,10,2019/2020
172,9,2019/2020
173,9,2019/2020
174,5,2019/2020
175,5,2019/2020
1,,2022/2023
2,,2022/2023
3,,2022/2023
4,,2022/2023
5,,2022/2023
6,,2022/2023
7,,2022/2023
8,,2022/2023
9,,2022/2023
10,,2022/2023
11,,2022/2023
12,,2022/2023
13,,2022/2023
14,,2022/2023
15,,2022/2023
16,,2022/2023
17,,2022/2023
18,,2022/2023
19,,2022/2023
20,,2022/2023
21,,2022/2023
22,,2022/2023
23,,2022/2023
24,,2022/2023
25,,2022/2023
26,,2022/2023
27,,2022/2023
28,,2022/2023
29,,2022/2023
30,,2022/2023
31,,2022/2023
32,,2022/2023
33,,2022/2023
34,,2022/2023
35,,2022/2023
36,,2022/2023
37,,2022/2023
38,5,2022/2023
39,,2022/2023
40,,2022/2023
41,,2022/2023
42,,2022/2023
43,,2022/2023
44,,2022/2023
45,5,2022/2023
46,,2022/2023
47,5,2022/2023
48,5,2022/2023
49,6,2022/2023
50,6,2022/2023
51,6,2022/2023
52,5,2022/2023
53,6,2022/2023
54,8,2022/2023
55,7,2022/2023
56,6,2022/2023
57,6,2022/2023
58,7,2022/2023
59,10,2022/2023
60,9,2022/2023
61,8,2022/2023
62,9,2022/2023
63,9,2022/2023
64,9,2022/2023
65,8,2022/2023
66,5,2022/2023
67,8,2022/2023
68,8,2022/2023
69,9,2022/2023
70,9,2022/2023
71,9,2022/2023
72,8,2022/2023
73,8,2022/2023
74,7,2022/2023
75,7,2022/2023
76,9,2022/2023
77,9,2022/2023
78,9,2022/2023
79,13,2022/2023
80,17,2022/2023
81,17,2022/2023
82,17,2022/2023
83,17,2022/2023
84,18,2022/2023
85,18,2022/2023
86,18,2022/2023
87,22,2022/2023
88,23,2022/2023
89,28,2022/2023
90,33,2022/2023
91,32,2022/2023
92,32,2022/2023
93,32,2022/2023
94,31,2022/2023
95,38,2022/2023
96,41,2022/2023
97,41,2022/2023
98,42,2022/2023
99,42,2022/2023
100,62,2022/2023
101,67,2022/2023
102,79,2022/2023
103,83,2022/2023
104,96,2022/2023
105,97,2022/2023
106,97,2022/2023
107,74,2022/2023
108,67,2022/2023
109,94,2022/2023
110,105,2022/2023
111,99,2022/2023
112,102,2022/2023
113,103,2022/2023
114,104,2022/2023
115,133,2022/2023
116,107,2022/2023
117,113,2022/2023
118,116,2022/2023
119,112,2022/2023
120,113,2022/2023
121,133,2022/2023
122,106,2022/2023
123,90,2022/2023
124,67,2022/2023
125,54,2022/2023
126,53,2022/2023
127,52,2022/2023
128,39,2022/2023
129,33,2022/2023
130,28,2022/2023
131,24,2022/2023
132,23,2022/2023
133,23,2022/2023
134,23,2022/2023
135,17,2022/2023
136,17,2022/2023
137,15,2022/2023
138,16,2022/2023
139,13,2022/2023
140,13,2022/2023
141,13,2022/2023
142,9,2022/2023
143,8,2022/2023
144,10,2022/2023
145,10,2022/2023
146,9,2022/2023
147,9,2022/2023
148,9,2022/2023
149,9,2022/2023
150,10,2022/2023
151,6,2022/2023
152,,2022/2023
153,5,2022/2023
154,5,2022/2023
155,5,2022/2023
156,5,2022/2023
157,5,2022/2023
158,5,2022/2023
159,5,2022/2023
160,5,2022/2023
161,5,2022/2023
162,5,2022/2023
163,5,2022/2023
164,,2022/2023
165,,2022/2023
166,,2022/2023
167,,2022/2023
168,,2022/2023
169,,2022/2023
170,,2022/2023
171,,2022/2023
172,,2022/2023
173,,2022/2023
174,,2022/2023
175,,2022/2023
1,,2023/2024
2,,2023/2024
3,,2023/2024
4,,2023/2024
5,,2023/2024
6,,2023/2024
7,,2023/2024
8,,2023/2024
9,,2023/2024
10,,2023/2024
11,,2023/2024
12,,2023/2024
13,,2023/2024
14,,2023/2024
15,,2023/2024
16,,2023/2024
17,,2023/2024
18,,2023/2024
19,,2023/2024
20,,2023/2024
21,,2023/2024
22,,2023/2024
23,,2023/2024
24,,2023/2024
25,,2023/2024
26,,2023/2024
27,,2023/2024
28,,2023/2024
29,,2023/2024
30,,2023/2024
31,,2023/2024
32,,2023/2024
33,,2023/2024
34,,2023/2024
35,,2023/2024
36,,2023/2024
37,,2023/2024
38,,2023/2024
39,,2023/2024
40,,2023/2024
41,,2023/2024
42,,2023/2024
43,,2023/2024
44,,2023/2024
45,,2023/2024
46,,2023/2024
47,,2023/2024
48,,2023/2024
49,,2023/2024
50,,2023/2024
51,,2023/2024
52,,2023/2024
53,,2023/2024
54,,2023/2024
55,,2023/2024
56,,2023/2024
57,,2023/2024
58,,2023/2024
59,,2023/2024
60,,2023/2024
61,,2023/2024
62,,2023/2024
63,,2023/2024
64,,2023/2024
65,,2023/2024
66,,2023/2024
67,,2023/2024
68,,2023/2024
69,,2023/2024
70,,2023/2024
71,,2023/2024
72,,2023/2024
73,,2023/2024
74,,2023/2024
75,,2023/2024
76,,2023/2024
77,,2023/2024
78,,2023/2024
79,,2023/2024
80,,2023/2024
81,,2023/2024
82,6,2023/2024
83,7,2023/2024
84,8,2023/2024
85,8,2023/2024
86,10,2023/2024
87,11,2023/2024
88,13,2023/2024
89,13,2023/2024
90,13,2023/2024
91,13,2023/2024
92,15,2023/2024
93,19,2023/2024
94,23,2023/2024
95,24,2023/2024
96,24,2023/2024
97,29,2023/2024
98,29,2023/2024
99,27,2023/2024
100,26,2023/2024
101,27,2023/2024
102,28,2023/2024
103,34,2023/2024
104,30,2023/2024
105,30,2023/2024
106,31,2023/2024
107,24,2023/2024
108,17,2023/2024
109,27,2023/2024
110,25,2023/2024
111,34,2023/2024
112,34,2023/2024
113,34,2023/2024
114,35,2023/2024
115,62,2023/2024
116,58,2023/2024
117,59,2023/2024
118,63,2023/2024
119,63,2023/2024
120,62,2023/2024
121,74,2023/2024
122,53,2023/2024
123,50,2023/2024
124,53,2023/2024
125,44,2023/2024
126,44,2023/2024
127,44,2023/2024
128,45,2023/2024
129,48,2023/2024
130,49,2023/2024
131,41,2023/2024
132,47,2023/2024
133,47,2023/2024
134,47,2023/2024
135,48,2023/2024
136,51,2023/2024
137,48,2023/2024
138,57,2023/2024
139,55,2023/2024
140,55,2023/2024
141,55,2023/2024
142,52,2023/2024
